X1, X2, y
0.91,0.59,2.4247278722869
0.26,0.27,0.17155148568758
-0.28,0.35,0.49466930214395
0.63,-0.71,0.32058718224632
0.08,-0.13,-0.25272058338689
-0.5,0.01,0.49385933831411
-0.77,0.86,2.0030341139157
0.21,0.39,0.78275535896085
0.84,-0.5,1.12326355553
0.5,0.51,0.48403728728964
0.46,-0.13,0.1372139408667
-0.93,0.84,2.4550940211098
-0.84,0.33,1.7658356810969
-0.61,-0.97,-0.093105150777152
-0.07,0.93,0.5980363602832
-0.38,0.47,0.9249988378171
0.33,0.1,0.45954206381889
0.62,-0.41,-0.0013078774366592
0.52,-0.9,-0.38618637880501
-0.74,0.28,0.99503862988213
0.48,-0.51,-0.13837616109752
-0.33,0.85,1.1420583336734
0.56,-0.42,0.19038767001689
-0.1,0.53,0.43119067424396
0.07,-0.47,-0.6267990630272
0.31,0.26,0.4730983318821
0.5,0.55,0.94473916787185
0.84,-0.05,1.6771075910287
-0.21,-0.75,-0.75995722947308
0.1,-0.02,-0.022125998568023
0.36,-0.51,-0.21586817014735
-0.84,0.61,2.4384727963275
-0.76,-0.46,0.79369393883643
-0.62,-0.39,0.029807081829498
-0.12,0.93,1.0565619756535
0.27,-0.68,-0.59552695462579
-0.57,-0.34,0.63258361055222
0.89,0.34,1.6469176400059
0.94,0.95,2.6516910802817
0.83,-0.67,0.59873717059976
-0.85,-0.35,0.94290183953262
0.65,-0.84,0.25113687178227
-0.32,0.2,0.33826597048083
0.76,-0.16,1.2061058655466
0.83,0.5,1.8886463092888
-0.06,-0.6,-0.26704877901672
0.94,0.97,2.6507203966799
0.8,0.29,2.1123183788056
0.47,0.34,0.59009161211374
0,-0.77,-0.63031121030493
-0.17,0.59,0.52661949097364
-0.04,-0.91,-0.89425242697668
-0.22,-0.82,-1.1274742250912
0.11,0.54,0.7786966283408
-0.11,-0.19,-0.13577520878207
0.74,-0.09,0.88443962090546
-0.04,-0.54,-0.64239453183399
-0.97,0.13,2.2268163905512
0.89,0.19,1.9101107454942
0.04,0.49,0.61706105350567
0.42,0.05,0.17801414172962
0.86,-0.15,1.3618732694044
0.6,0.76,1.4582402910974
0.77,0.86,2.5447262062549
-0.88,-0.22,1.041304759907
-0.56,0.35,0.93567316701336
-0.1,0.57,0.5632556323921
0.58,0.19,0.78121926783628
-0.16,0.7,0.60496533040008
0.54,0.87,1.0247711376397
0.45,-0.38,0.39211528864585
0.29,0.77,1.0030704646083
0.85,-0.23,1.2971975550217
-0.88,-0.26,1.3877669045417
-0.67,0.7,1.5387052533638
-0.39,-0.46,-0.17786495786445
0.5,0.01,0.51633387892355
-0.52,-0.11,0.58651481328376
-0.47,0.45,1.3702553881264
-0.32,-0.5,-0.27705756844791
-0.33,0.93,1.0216873136383
0.56,0.61,1.2281393647737
0.23,-0.22,-0.062028897262551
0.13,-0.08,0.025324167077544
-0.25,0.57,0.73262604553623
-0.25,-0.2,0.025933379653096
0.09,0.41,0.42710043912011
0.85,-0.36,0.87226667271535
0.69,-0.33,0.56979211169347
-0.96,0.74,2.6493017052906
0.41,0.82,0.75639330976239
0.31,0.17,0.53911547539428
-0.7,-0.83,0.52844259389586
0.41,-0.65,-0.31021116653769
-0.84,-0.65,0.72668266519601
0,0.93,1.2845061253094
-0.62,0.86,1.6792947159833
-0.78,0.18,1.4309978707419
0.07,0.39,0.54191936216521
-0.73,0,0.79027582464877
0.47,0.5,1.1845815178059
0.13,-0.46,-0.56309582698674
0.03,-0.66,-0.51004722015062
-0.48,0.93,1.2203449074436
0.59,0.32,0.80288469775677
0.32,0.74,0.75732242642184
-1,-0.46,1.2538006739687
-0.71,-0.95,0.035815221289756
0.11,-0.68,-0.54403085476345
0.97,0.07,1.7250534411633
0.03,-0.27,-0.34128040446072
0.25,0.03,-0.11624451306918
0.35,0.2,0.20786666405224
-0.31,-0.18,-0.19783296200936
0.31,-0.97,-0.8659531427887
0.15,0.22,0.16377852547603
0.74,0.49,1.4319777394809
0.92,0.85,2.5371324733998
-0.3,-0.56,-0.3620660424106
-0.87,-0.19,1.2801397775878
0,0.18,0.068701031913838
0.69,-0.77,0.31880096912376
-0.95,0.6,2.4948212339645
