multiple_hosts,host_since,host_from_ireland,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_respond_within_an_hour,host_respond_within_a_few_hours,host_respond_within_a_day,host_verified_by_phone,host_verified_by_email,host_verified_by_work_email,bungalow,town_house,rental_unit,home,loft,condo,cottage,guesthouse,bed_and_breakfast,boat,serviced_apartment,guest_suite,cabin,villa,castle,tiny_home,entire_home_or_apt,private_room,shared_room,number_of_bathrooms,shared_bath,entertainment_amenities,self_care_amenities,storage_amenities,wifi,leisure_amenities,kitchen_amenities,safety_amenities,parking_amenities,long_term_stay,single_level_home,open_24_hours,self_check_in,dublin_city,south_dublin,fingal,dun_laoghaire_rathdown,city center,clean comfortable,definitely recommend,definitely stay,gave us,great host,great location,great place,great stay,highly recommend,location great,minute walk,place great,place stay,recommend place,temple bar,walking distance,would definitely,would highly,would recommend
1,1325462400.0,1,100.0,99.0,0,8,8,1,1,53.35682,-6.29132,6,1,3,240.0,2,365,2,5,365,365,3.0,365.0,1,9,19,33,255,145,41,1,1351033200.0,1660950000.0,4.8,4.8,4.85,4.92,4.94,4.5,4.61,1,8,8,0,0,1.2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.2200196908661266,0.1477468626858802,0.1694250035969059,0.0723540423378994,0.080771234194922,0.0977807831224846,0.347105679322493,0.2285298307274107,0.2708742822761259,0.1513516042773727,0.1079117613954955,0.4418453633545747,0.2162640574089946,0.3421966075664634,0.1049085755281521,0.1642601235961236,0.2943073963957433,0.2507460583102863,0.110368750449967,0.2008704658997328
0,1334012400.0,1,96.0,95.0,1,4,5,1,1,53.355545,-6.258094,3,1,1,155.0,2,1124,1,2,1124,1124,2.0,1124.0,1,4,9,33,114,519,72,4,1339887600.0,1661641200.0,4.84,4.92,4.91,4.89,4.88,4.62,4.75,0,4,4,0,0,4.16,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.1751741566319266,0.0600415091562493,0.1495052293608312,0.19322171097361,0.2813476302439536,0.2573395024519787,0.2686802528564904,0.1137185727710314,0.1808426681805665,0.428787526138677,0.0918830695423235,0.2650611227119688,0.0669604504793291,0.2456163171232823,0.1299286725805714,0.1621124460594811,0.3796854502423555,0.2693029651444809,0.1623206433523134,0.1710341370448106
0,1309474800.0,1,100.0,95.0,0,3,4,1,1,53.39027,-6.23547,3,1,2,60.0,3,21,1,3,21,21,3.0,21.0,1,6,16,25,28,254,15,5,1340492400.0,1662850800.0,4.61,4.78,4.49,4.83,4.84,4.56,4.61,0,3,0,3,0,2.04,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0.4624283017370839,0.2964133348757425,0.1359618185172954,0.193544576547926,0.4051130165221861,0.0871867447552081,0.2127802789422522,0.1746598408426356,0.2264310611010042,0.2024301698508515,0.048110042159759,0.0738700725858853,0.0964164868132862,0.3328596961554781,0.3040124034768768,0.0274618865769897,0.0656051808691873,0.1467237380422496,0.1230135892650133,0.2014955972431422
0,1334012400.0,1,96.0,95.0,1,4,5,1,1,53.35572,-6.25803,3,1,2,154.0,2,1124,1,2,1124,1124,2.0,1124.0,1,1,9,26,111,498,57,4,1335826800.0,1661209200.0,4.84,4.88,4.91,4.86,4.85,4.6,4.69,0,4,4,0,0,3.95,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.1986913389063584,0.0812149261079719,0.1396967647687376,0.1491460147256773,0.3551929129344389,0.2149963506962818,0.2941506333475167,0.1525391666704558,0.1116725987595601,0.2995070953339735,0.1186359638180503,0.2125181079868272,0.0891585908644148,0.2394024751017664,0.1633902912615926,0.2031572143402674,0.431407305112619,0.2670505100105588,0.1820056903302332,0.211631476872771
0,1309474800.0,1,100.0,95.0,0,3,4,1,1,53.39027,-6.23547,2,3,1,60.0,3,21,1,3,21,21,3.0,21.0,1,3,11,27,299,176,13,8,1346454000.0,1662764400.0,4.59,4.72,4.51,4.85,4.89,4.52,4.63,0,3,0,3,0,1.44,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0.6133852074915959,0.2402740173225648,0.2571596477593092,0.19611015879928,0.2189243206399664,0.1060109665531377,0.2195208605941615,0.0707900365578563,0.1835460632031159,0.2953634939667506,0.0389982222227926,0.1197588435591846,0.0781556492135139,0.1349088029956072,0.151651604556027,0.0,0.0354532416053888,0.271851289711653,0.2792030730095748,0.1088888407415153
0,1335394800.0,1,100.0,72.0,0,1,4,1,1,53.42654,-6.22952,4,1,3,155.0,1,1125,1,1,1125,1125,1.0,1125.0,1,11,21,47,317,271,51,6,1375225200.0,1661641200.0,4.19,4.63,4.45,4.67,4.54,4.67,4.21,0,1,0,1,0,2.44,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0.0855505707634205,0.1256688643847454,0.1614005272460655,0.0246168349539338,0.1923641656870229,0.0443569485457166,0.2755547610219894,0.3110085321173744,0.0460794399635355,0.1235855471386461,0.0489527317622491,0.4008745158633442,0.0490526530901388,0.4656987854759997,0.1665663178732322,0.0,0.5340345054179844,0.0853107046037228,0.0751009681314132,0.113902760794873
0,1298505600.0,1,100.0,88.0,1,4,4,1,0,53.35334,-6.29797,3,1,2,132.0,3,1125,2,3,1125,1125,3.0,1125.0,1,1,1,1,1,93,20,3,1497999600.0,1662764400.0,4.67,4.74,4.59,4.96,4.97,4.76,4.55,0,3,2,1,0,1.46,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.3654582566715311,0.0,0.0875526415035226,0.1402122044190522,0.3130471341802391,0.4631873609658795,0.3736906504891111,0.210885452030587,0.0437430987626498,0.1173194552364333,0.2323535379197427,0.2854118922568762,0.0931311253083777,0.2813279057366672,0.1355322813761663,0.106104525669303,0.1689858798316394,0.1619704831458448,0.0475287759391563,0.1297531320362773
0,1334098800.0,1,100.0,100.0,1,2,3,1,1,53.35328,-6.45154,5,2,3,70.0,1,21,1,1,1125,1125,1.0,1125.0,1,4,20,49,279,296,82,10,1346626800.0,1662764400.0,4.7,4.81,4.7,4.84,4.9,4.75,4.69,1,2,0,2,0,2.42,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0.1927932241387056,0.176214670854056,0.3002179106360174,0.1479346133796085,0.2477165252291798,0.2887761722115535,0.2562769652347755,0.2002502717114457,0.1384569573730916,0.3507128611613043,0.1225753882907737,0.1756599855015804,0.0491302346795948,0.3816289095154881,0.2383282269532482,0.0,0.200579675043062,0.2776983035560118,0.2005859938397696,0.136899491040109
0,1305846000.0,1,100.0,67.0,0,2,6,1,1,53.33596,-6.22059,2,1,1,139.0,1,7,1,1,7,7,1.0,7.0,1,2,2,2,2,113,0,0,1346713200.0,1564095600.0,4.62,4.74,4.44,4.8,4.78,4.55,4.5,0,2,0,2,0,0.93,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0.4987877971629303,0.0,0.2240518670436072,0.0478413986418667,0.213627805112459,0.2586155119311896,0.1912588506777531,0.0431733671979612,0.1791054666950334,0.3602720722280554,0.0475684051022139,0.0973845620013328,0.1429965023114097,0.1645561317151309,0.3699566056478184,0.0,0.3459550846676592,0.2072455412628615,0.0973029327690751,0.1328180668829458
0,1334012400.0,1,96.0,95.0,1,4,5,1,1,53.355545,-6.258094,3,1,1,153.0,2,1124,1,2,1124,1124,2.0,1124.0,1,4,14,36,123,430,53,4,1340578800.0,1661295600.0,4.81,4.91,4.96,4.9,4.89,4.65,4.69,0,4,4,0,0,3.46,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.194848795425369,0.0482057541884103,0.1326689706156746,0.200660707690286,0.3557714564574986,0.2764943229170936,0.3303156359648332,0.1065186054860246,0.1878050742582867,0.2469094131402442,0.1056259554207126,0.3243645876663937,0.1058415569887011,0.2740484770626412,0.0684575890442875,0.1875775261132688,0.3520896196695599,0.30679338881252,0.084024033410651,0.120153973035703
0,1336604400.0,1,100.0,100.0,1,3,4,1,1,53.34752,-6.26393,3,0,2,194.0,1,60,1,4,3,1125,2.9,1079.5,1,1,6,12,197,568,51,3,1346713200.0,1662246000.0,4.9,4.94,4.92,4.96,4.98,4.93,4.77,0,1,1,0,0,4.65,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.0626719946855104,0.1138215563834411,0.1596975190345049,0.1508266072961413,0.2049755577236715,0.2540493184424922,0.4089708916464863,0.0887673876356296,0.1350261203746775,0.2853235967755353,0.1564862165345781,0.0467201703902505,0.098003520650539,0.146613406549447,0.1584700030042113,0.5136160266004449,0.2904504605149268,0.3011184175256904,0.1533804575759314,0.0910276681605859
1,1341874800.0,1,100.0,86.0,1,2,2,1,1,53.36405,-6.27351,2,1,1,80.0,2,7,2,2,7,7,2.0,7.0,1,0,0,0,117,220,28,5,1347836400.0,1662591600.0,4.98,4.97,4.96,4.99,4.99,4.76,4.94,0,1,0,1,0,1.81,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1334098800.0,1,100.0,100.0,1,2,3,1,1,53.35153,-6.45154,1,1,1,55.0,1,5,1,1,5,5,1.0,5.0,1,4,20,49,279,42,17,1,1346626800.0,1661382000.0,4.9,4.98,4.95,4.93,4.95,4.9,4.8,0,2,0,2,0,0.34,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0.3583022024096415,0.0300757321373547,0.3034995952515296,0.0589143013083404,0.4274920154452574,0.0,0.094210302178376,0.0,0.1378496674740821,0.5915428344145265,0.0585781233514472,0.1499053014596244,0.029348845917173,0.2026426860672127,0.1423697333460734,0.1337488563430031,0.1331332713132847,0.2041700553810382,0.1497796485386889,0.1635588388648301
0,1307660400.0,1,0.0,0.0,0,1,2,1,1,53.34616,-6.27228,4,2,2,150.0,2,1125,2,2,1125,1125,2.0,1125.0,1,0,0,0,0,61,0,0,1345590000.0,1553299200.0,4.82,4.89,4.66,4.89,4.89,4.97,4.7,0,1,1,0,0,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.112969830022402,0.0,0.1217885512681066,0.0,0.4354586714429393,0.117147013580525,0.4158526085696601,0.0,0.2433922510980546,0.5439838343135094,0.129284509430254,0.0,0.1295484023611037,0.2236206860080409,0.1256865196785681,0.0,0.1175324075666734,0.0,0.2644562478423178,0.2406543949152658
0,1344207600.0,0,0.0,0.0,0,1,1,1,1,53.34675,-6.27552,2,1,1,119.0,7,60,7,7,60,60,7.0,60.0,1,0,0,0,0,158,0,0,1350860400.0,1539385200.0,4.5,4.6,4.43,4.63,4.55,4.72,4.55,0,1,1,0,0,1.31,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0.2119148794455116,0.0996130434048611,0.0456915021554098,0.1463463838534244,0.0,0.0,0.3900393379128999,0.1320669200224524,0.0913136534580744,0.2449041879149392,0.0485037664032095,0.1489492249038536,0.0486027713120714,0.1258439108234103,0.0943078117771018,0.7198523772762966,0.2204736076481063,0.0422641427641756,0.2480406223015645,0.0451432449499022
